,MINE_ID,CURRENT_MINE_NAME,COAL_METAL_IND,CURRENT_MINE_TYPE,CURRENT_MINE_STATUS,CURRENT_STATUS_DT,CURRENT_CONTROLLER_ID,CURRENT_CONTROLLER_NAME,CURRENT_OPERATOR_ID,CURRENT_OPERATOR_NAME,STATE,BOM_STATE_CD,FIPS_CNTY_CD,FIPS_CNTY_NM,CONG_DIST_CD,COMPANY_TYPE,CURRENT_CONTROLLER_BEGIN_DT,DISTRICT,OFFICE_CD,OFFICE_NAME,ASSESS_CTRL_NO,PRIMARY_SIC_CD,PRIMARY_SIC,PRIMARY_SIC_CD_1,PRIMARY_SIC_CD_SFX,SECONDARY_SIC_CD,SECONDARY_SIC,SECONDARY_SIC_CD_1,SECONDARY_SIC_CD_SFX,PRIMARY_CANVASS_CD,PRIMARY_CANVASS,SECONDARY_CANVASS_CD,SECONDARY_CANVASS,CURRENT_103I,CURRENT_103I_DT,PORTABLE_OPERATION,PORTABLE_FIPS_ST_CD,DAYS_PER_WEEK,HOURS_PER_SHIFT,PROD_SHIFTS_PER_DAY,MAINT_SHIFTS_PER_DAY,NO_EMPLOYEES,PART48_TRAINING,LONGITUDE,LATITUDE,AVG_MINE_HEIGHT,MINE_GAS_CATEGORY_CD,METHANE_LIBERATION,NO_PRODUCING_PITS,NO_NONPRODUCING_PITS,NO_TAILING_PONDS,PILLAR_RECOVERY_USED,HIGHWALL_MINER_USED,MULTIPLE_PITS,MINERS_REP_IND,SAFETY_COMMITTEE_IND,MILES_FROM_OFFICE,DIRECTIONS_TO_MINE,NEAREST_TOWN
21506,4604687,Mars 15,C,Surface,Abandoned,05/19/1976,C01027,Mashuda Corp,P01200,Mars Mining Company,WV,46,97,Upshur,2.0,Other,08/17/1975,C03,C0300,"Morgantown, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
21550,4608200,Mine No 4,C,Underground,Abandoned and Sealed,12/04/2001,C15936,Jimmy  Williams,P24414,K & J Energy Inc,WV,46,109,Wyoming,3.0,Other,07/10/2000,C12,C1201,Pineville WV Field Office,460820003561,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,0.0,0.0,0.0,,N,81.3203,37.5061,50.0,,0.0,,,,N,N,N,N,N,20,"Rt. 10 South to Herndon, left toward Stephenson, 2nd paved right.",Herndon
21551,4608236,Mine No 64a,C,Underground,Abandoned and Sealed,01/21/2010,C15677,Rackwood Mineral Holdings Plc,P23890,Royal Scot Minerals Inc,WV,46,25,Greenbrier,3.0,Other,11/11/1997,C04,C0403,Summersville WV Field Office,460823603509,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,0.0,0.0,0.0,0.0,N,80.619166,38.021944,72.0,,0.0,,0.0,,N,N,N,N,N,0,,Hines
21560,4608627,No 1,C,Facility,NonProducing,12/29/2011,C15563,Donald  McCloud,P23687,Red Oak Inc,WV,46,59,Mingo,3.0,Corporation,03/01/1997,C12,C1203,Logan WV Field Office,000276039,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,03/18/1997,N,,5,0.0,0.0,1.0,2.0,N,82.1375,37.775277,,,,,0.0,,N,N,N,N,N,0,"SOUTH ON 119 TO SCARLETT ROAD, 2 MILES UP SCARLETT ROAD ON LEFT",Holden
21606,4603349,No 1 Mine,C,Underground,Abandoned,01/20/1976,C00126,Biliter Marvin Jr,P00260,Biliter Coal Company,WV,46,59,Mingo,3.0,Other,01/01/1950,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
21612,4602901,D-423,C,Underground,Abandoned,08/24/1972,C30076,Appalachian Mining Co C/O Peter White Coal Co,P30076,Appalachian Mining Co C/O Peter White Coal Co,WV,46,59,Mingo,3.0,Other,01/01/1950,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
21644,4607464,No 4 Mine,C,Underground,Abandoned and Sealed,02/29/1988,C12611,Fry William Joe,P19481,Bend Branch Coal Company,WV,46,45,Logan,3.0,Other,03/09/1988,C12,C1203,Logan WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,81.8114,37.9369,,,0.0,,,,N,N,N,N,N,0,,Clothier
21645,4607488,Joshua #18 Mine,C,Underground,Abandoned and Sealed,03/30/1988,C09309,Jeff  Chillag,P17065,Joshua Industries Inc,WV,46,45,Logan,3.0,Other,03/01/1988,C12,C1203,Logan WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,81.9428,37.7381,,,0.0,,,,N,N,N,N,N,0,,Lyburn
21646,4607586,Sassafras Mine,C,Surface,Abandoned and Sealed,04/03/1991,C04943,La Rosa Corp,P05910,La Rosa Fuel Company Inc,WV,46,41,Lewis,2.0,Other,10/01/1990,C03,C0303,Bridgeport WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,12/27/1988,N,,0,,,,0.0,N,80.5781,39.0403,,,,0.0,0.0,,N,N,N,N,N,0,,420 Buckhannon Pike
21658,4606866,Enviro No 5,C,Underground,Abandoned and Sealed,01/24/1989,C13222,Mc Million Virgil & Jerry Hatley,P19159,Shaker Run Coal Company Inc,WV,46,83,Randolph,2.0,Other,10/28/1987,C03,C0303,Bridgeport WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1980,N,,0,,,,0.0,N,38.0747,79.5008,,,0.0,,,,N,N,N,N,N,0,,Elkins
21659,4606980,Pioneer No 1 Mine,C,Underground,Abandoned and Sealed,12/07/1987,C11922,Minnix Kenneth L,P18184,Mattmanda Coal Company Inc,WV,46,109,Wyoming,3.0,Other,05/11/1987,C12,C1201,Pineville WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,09/11/1985,N,,0,,,,0.0,N,81.6897,37.6925,47.0,,0.0,,,,N,N,N,N,N,0,,Lynco
21675,4601282,Hampton No 4,C,Underground,Abandoned and Sealed,05/21/1991,C01550,Westmoreland Coal Company,P01842,Westmoreland Coal Company,WV,46,5,Boone,3.0,Other,01/01/1950,C04,C0406,Madison WV Field Office,460128203573D,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,81.7494,37.8725,60.0,,0.0,,,,N,N,N,N,Y,0,,Clothier
21676,4601304,No 2,C,Underground,Abandoned and Sealed,06/01/1983,C01550,Westmoreland Coal Company,P01842,Westmoreland Coal Company,WV,46,19,Fayette,3.0,Other,01/01/1950,C04,C0401,Mt. Hope WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,80.7,37.9375,,,0.0,,0.0,,N,N,N,N,N,0,,Clifftop
21679,4602232,Cut #25 Surface,C,Surface,Abandoned,10/04/1984,C00880,Eastern Gas & Fuel Association,P15993,Nu East Mining Corp,WV,46,5,Boone,3.0,Corporation,01/01/1985,C04,C0402,Mt. Carbon WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,81.5169,38.0558,,,,0.0,0.0,,N,N,N,N,Y,0,,Orgas
21680,4602252,Itmann Impoundment Area,C,Facility,Abandoned,07/05/2007,C00692,CONSOL Energy Inc,P00812,Consolidation Coal Company,WV,46,109,Wyoming,3.0,Corporation,08/23/1985,C12,C1201,Pineville WV Field Office,000060586,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,0.0,0.0,0.0,0.0,N,81.448611,37.569444,,,,,0.0,,N,N,N,N,Y,0,3 miles north of Itmann on Rt. 10,Itmann
21681,4602312,No 1 Mine,C,Underground,Abandoned and Sealed,02/26/1982,C03653,Holstein B B,P04434,Bentley Coal Company,WV,46,109,Wyoming,3.0,Other,01/01/1950,C12,C1201,Pineville WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,81.4236,37.5567,47.0,,0.0,,,,N,N,N,N,N,0,,Itmann
21693,4609122,Isaac's Run Surface Mine,C,Surface,NonProducing,01/03/2012,C15927,Douglas M  Epling; Debra  Epling,P24400,"Hanover Resources, LLC",WV,46,1,Barbour,1.0,Other,01/15/2008,C03,C0303,Bridgeport WV Field Office,000256351,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Never Had 103I Status,,N,,6,0.0,0.0,10.0,3.0,N,80.165833,39.151666,60.0,,,,0.0,,N,N,N,N,N,18,Exit I-79 at Stonewood - Go South on 57/21 toward Philippi - take 57 South to Isaac's Run - turn right on Isaac Run,Phillipi
21709,4600830,#1 Ug,C,Underground,Abandoned,03/11/1971,C30573,Curry-Goad Coal Company,P30573,Curry-Goad Coal Company,WV,46,59,Mingo,3.0,Other,01/01/1950,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
21742,4605888,No 1 Mine,C,Surface,Abandoned,06/05/1980,C05005,Hale William L & Bobby,P10506,B & B Energy Inc,WV,46,47,Mcdowell,3.0,Other,10/22/1979,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
21769,4608214,No. 2,C,Underground,Abandoned,06/09/2005,C16028,Bradley V  Hurley,P24597,"Joshua Fuel, Inc.",WV,46,47,Mcdowell,3.0,Corporation,01/14/2004,C12,C1202,Princeton WV Field Office,000094626,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Never Had 103I Status,,N,,0,0.0,0.0,0.0,0.0,N,81.519444,37.221666,42.0,,0.0,,0.0,,N,N,N,N,Y,0,"Approximately 4 miles south of Berwin post office on State Route 9, turn left go .7 miles to mine site",Squire
21776,4602724,#1 Surface,C,Surface,Abandoned,11/29/1990,C15414,S & P Holding Company Inc,P23446,Gauley Eagle Holdings Inc,WV,46,67,Nicholas,2.0,Other,12/01/1995,C04,C0403,Summersville WV Field Office,460272403545D,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,80.7333,38.3694,,,,0.0,0.0,,N,N,N,N,Y,0,,Craigsville
21780,4603774,Bull Creek Cleaning Plant,C,Facility,Abandoned,09/03/1983,C00329,American Electric Power Company Inc,P00229,Southern Appalachian Coal Company,WV,46,5,Boone,3.0,Other,01/01/1950,C04,C0406,Madison WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,81.7125,38.2075,,,,,,,N,N,N,N,Y,0,,Ashford
21870,4601832,No 17 Mine,C,Underground,Abandoned,04/16/1980,C02529,National Bulk Carriers,P02951,United Pocahontas Coal Company,WV,46,47,Mcdowell,3.0,Other,01/01/1950,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
21907,4603780,No 3 Mine,C,Underground,Abandoned,05/21/1980,C02231,Lowe Coal Company,P02591,Lowe Coal Company,WV,46,47,Mcdowell,3.0,Other,04/02/1975,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
21935,4607036,J B Coal,C,Surface,Abandoned,08/25/1993,C12114,Bolinger William F,P17182,J B Coal,WV,46,77,Preston,1.0,Other,10/01/1985,C03,C0301,Morgantown WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,11/22/1985,N,,0,,,,0.0,N,79.5925,39.5639,50.0,,,0.0,0.0,,N,N,N,N,N,0,,Albright
21936,4606674,Greendale #1 Surface,C,Surface,Abandoned,09/02/1986,C10204,Harold  Osborne,P14503,Greendale Coals Inc,WV,46,67,Nicholas,2.0,Other,07/01/1983,C04,C0403,Summersville WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,81.1583,38.2931,40.0,,,0.0,1.0,,N,N,N,N,N,0,,Belva
21962,4609260,Sewell Mine,C,Underground,New Mine,01/28/2008,C03440,Edward A  Asbury,P24646,Shane Coal Company,WV,46,47,Mcdowell,3.0,Corporation,01/24/2008,C12,C1201,Pineville WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Never Had 103I Status,,N,,0,0.0,0.0,0.0,,N,81.623055,37.507222,,,0.0,,0.0,,N,N,N,N,N,0,Rt. 4/1  2.6 miles NE of Davy P.O.,Davy
21999,4607485,Mine No 1,C,Underground,Abandoned and Sealed,01/11/1991,C13574,David  Stevenson,P19848,Conquest Coal Mining Inc,WV,46,59,Mingo,3.0,Other,09/15/1988,C12,C1203,Logan WV Field Office,460748503501AEH,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,82.0758,37.62,38.0,,0.0,,,,N,N,N,N,N,0,,Newtown
22029,4607435,No 1 Mine,C,Underground,Abandoned and Sealed,03/23/1992,C10861,Jack  Slone,P20639,Huff Creek Mining Inc,WV,46,109,Wyoming,3.0,Other,11/20/1989,C12,C1201,Pineville WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,81.7767,37.5275,54.0,,0.0,,,,N,N,N,N,N,0,,Hanover
22046,4605910,No 1 Surface,C,Surface,Abandoned,10/01/1979,C07085,Armel Earl L,P08957,Armel Coal Company Inc,WV,46,1,Barbour,1.0,Other,11/01/1978,C03,C0300,"Morgantown, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
22058,4602188,Northern Star No 1 Mine,C,Underground,Abandoned,05/16/1978,C01771,Bayer William D,P02087,Northern Star Coal Inc,WV,46,101,Webster,3.0,Other,02/14/1975,C04,C0400,"Mt. Hope, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
22063,4601859,Morris Fork No 5b,C,Underground,Abandoned,12/15/1971,C01168,Union Carbide Corp,P01413,Union Carbide Corp-Metals Division,WV,46,39,Kanawha,2.0,Other,01/01/1950,C04,C0400,"Mt. Hope, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
22084,4605767,Mathes Surface,C,Surface,Abandoned,05/30/1978,C05446,Turpin Thomas W,P06562,T & P Construction Company Inc,WV,46,101,Webster,3.0,Other,04/01/1978,C04,C0400,"Mt. Hope, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
22125,4605927,No 14,C,Underground,Abandoned,12/01/1978,C00884,William G  Skewes,P10564,W C & H Coal Company Inc,WV,46,47,Mcdowell,3.0,Other,12/01/1978,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
22151,4603239,Peel Tree #3,C,Underground,Abandoned,01/14/1974,C00269,Central West Virginia Mining Inc,P00330,Central West Virginia Mining Inc,WV,46,1,Barbour,1.0,Other,01/01/1950,C03,C0300,"Morgantown, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
22154,4605360,J & W #1,C,Underground,Abandoned,10/01/1979,C07074,Toler Larlis & Marcial--Larry Browning,P09410,T B & T Mining,WV,46,45,Logan,3.0,Other,12/04/1978,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
22190,4608758,Eagle #1,C,Underground,Active,11/12/2008,0102349,Patriot Coal Corporation; Rhino Resource Partners LP,0090665,Rhino Eastern LLC,WV,46,81,Raleigh,3.0,Other,06/02/2008,C04,C0401,Mt. Hope WV Field Office,000289190,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,6,9.0,2.0,1.0,71.0,N,81.477777,37.785277,84.0,,0.0,,0.0,,N,N,N,N,N,30,"Take 19 SOUTH TO 77 SOUTH, EXIT 44 TURN RIGHT TO GLEN DANIEL ON RT 3.  AT LIGHT IN GLEN DANIEL, GO STRAIGHT TO RT 99, MINE ROAD IS APPROXIMATELY 12 MILES FROM LIGHT.  SIGNS ON RIGHT SIDE OF ROAD, FOLLOW TO MINE SITE.",Bolt
22195,4608651,Left Fork Deep Mine No 7,C,Underground,New Mine,08/01/1997,0085453,Metinvest B V,0055797,Carter Roag Coal Company,WV,46,83,Randolph,2.0,Corporation,10/22/2004,C03,C0303,Bridgeport WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,08/01/1997,N,,0,0.0,0.0,0.0,0.0,N,79.135,38.158333,,,0.0,,0.0,,N,N,N,N,N,0,"From Helvetia, WV, travel east 4.3 miles on County Route 46 toward Mill Creek, WV, turn right onto mine road at sign, travel 0.9 miles on mine road.",Elkins
22228,4605058,No 11,C,Underground,Abandoned,07/13/1976,C00071,Klaproth Abner H,P00124,Big Fork Coal Company Inc,WV,46,67,Nicholas,2.0,Other,03/05/1976,C04,C0400,"Mt. Hope, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
22262,4608085,Buzzard Strip,C,Surface,Abandoned,09/15/1993,C14464,Brietenbatch William T Iii,P21605,Algoma A & S Inc,WV,46,47,Mcdowell,3.0,Other,08/01/1991,C12,C1202,Princeton WV Field Office,460808503505,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Never Had 103I Status,,N,,0,,,,0.0,N,81.396666,37.433888,1.0,,,,0.0,,N,N,N,N,N,0,,Algoma
22263,4607680,No. 8 Loadout,C,Facility,Active,09/20/2000,0081113,ArcelorMittal,0050923,"XMV, Inc.",WV,46,47,Mcdowell,3.0,Corporation,12/11/2002,C12,C1202,Princeton WV Field Office,000288954,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,03/24/1989,N,,5,10.0,1.0,0.0,13.0,N,81.525,37.354444,,,,,0.0,,N,N,N,N,N,37,"Rt. 13/3 0.4 miles NE of Elbert, WV",Elbert
22264,4608196,Nathan Branch #1 Mine,C,Underground,Abandoned,07/27/1992,C06656,Horizon Natural Resources Incorporated,P19562,Appalachian Mining Inc,WV,46,39,Kanawha,2.0,Other,07/01/1992,C04,C0402,Mt. Carbon WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,81.2689,38.3244,,,0.0,,,,N,N,N,N,N,0,,Pond Gap
22294,4603214,No 2 Auger Mine,C,Surface,Abandoned,01/26/1973,C01262,Wesgin Mining Company,P01486,Wesgin Mining Company,WV,46,33,Harrison,1.0,Other,01/01/1950,C03,C0300,"Morgantown, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
22298,4600532,#11 Mine,C,Underground,Abandoned,01/26/1973,C30599,D N R Coal Company,P30599,D N R Coal Company,WV,46,47,Mcdowell,3.0,Other,01/01/1950,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
22327,4609206,Widen No. 1 Underground Mine,C,Underground,New Mine,03/06/2007,C00992,Walter Energy Incorporated,0060725,"Atlantic Leaseco, LLC",WV,46,67,Nicholas,2.0,Other,03/06/2007,C04,C0403,Summersville WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Never Had 103I Status,,N,,0,0.0,0.0,0.0,0.0,N,80.733888,38.399444,44.0,,0.0,,0.0,,N,N,N,N,N,0,"Rt. 55 to Back Fork Road, approximately 2.8 miles on Back Fork Road.",Calvin
22331,4606058,Davis Kincheloe,C,Surface,Abandoned,07/09/1981,C07685,Wolfe Robert E,P09979,Black Express Coal Company Inc,WV,46,33,Harrison,1.0,Other,09/01/1979,C03,C0300,"Morgantown, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
22334,4604713,No 2 Tipple,C,Facility,Abandoned,06/01/1980,C00676,Nippon Kokan K K,P00797,National Mines Corp,WV,46,47,Mcdowell,3.0,Corporation,07/02/1977,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
22336,4607518,Pcr Surface #4,C,Facility,Abandoned,03/29/1990,C11774,Coal Cave Inc--Phoenix Mining Corp & Chestnut Ridg,P16582,Pcr Joint Venture,WV,46,81,Raleigh,3.0,Other,05/01/1988,C04,C0401,Mt. Hope WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,81.3142,37.685,34.0,,,,,,N,N,N,N,N,0,,Slab Fork
22373,4604689,No 1 Mine,C,Underground,Abandoned,06/28/1977,C02998,Jackson Vicki,P03633,Big Ben Coal Company,WV,46,109,Wyoming,3.0,Other,11/28/1976,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
22389,4608812,Upper Cedar Grove No 4,C,Underground,Active,09/07/2011,0098893,Joe  Valis,0116765,"Glen Alum Operations, LLC",WV,46,59,Mingo,3.0,Other,02/07/2011,C12,C1203,Logan WV Field Office,000288958,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,12/01/1999,N,,6,9.0,1.0,1.0,14.0,N,82.052222,37.600833,39.0,,0.0,,0.0,,N,N,N,N,N,27,Approximately 7.5 miles off state Rt. 65 on Rt. 3/5 near Laurel Coke,Wharncliff
22392,4603427,No 1 Mine,C,Underground,Abandoned,12/14/1979,C31914,Vanover Harless,P31914,S & C Coal Company,WV,46,47,Mcdowell,3.0,Other,01/01/1950,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
22397,4601799,No 1,C,Underground,Abandoned,06/28/1971,C30737,Taylor R W,P30737,Empire Coal Company,WV,46,101,Webster,3.0,Other,01/01/1950,C04,C0400,"Mt. Hope, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
22403,4607128,Mine No 4,C,Underground,Abandoned and Sealed,07/24/1990,C12321,Banner Holding Ltd,P17664,Rush Run Coal Company Inc,WV,46,5,Boone,3.0,Other,05/01/1986,C04,C0406,Madison WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,05/30/1986,N,,0,,,,0.0,N,81.7047,37.8767,72.0,,0.0,,,,N,N,N,N,N,0,,Wharton
22404,4607151,No 1 Auger,C,Surface,Abandoned and Sealed,10/30/1986,C02216,Scholl Rex,P02574,P & S Coal Company,WV,46,5,Boone,3.0,Other,09/25/1986,C04,C0406,Madison WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,07/17/1986,N,,0,,,,0.0,N,81.8806,38.1589,36.0,,,0.0,0.0,,N,N,N,N,N,0,,Julian
22405,4607172,Carolina Strip,C,Surface,Abandoned,07/24/1986,C12347,Watson Howard F,P17589,Dodge Fuel Corp,WV,46,49,Marion,1.0,Corporation,07/01/1986,C03,C0303,Bridgeport WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,07/24/1986,N,,0,,,,0.0,N,0.0164,0.0164,,,,0.0,0.0,,N,N,N,N,N,0,,Worthington
22417,4607785,No 1,C,Surface,Abandoned,12/15/1989,C13993,Hatfield Billy,P20572,Micah Mining Company Inc,WV,46,45,Logan,3.0,Other,10/01/1989,C12,C1203,Logan WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,82.1433,37.8139,30.0,,,0.0,0.0,,N,N,N,N,N,0,,Holden
22421,4608109,Rooting Creek Job,C,Surface,Abandoned and Sealed,05/23/1995,C11636,Langford James E,P16356,Upco Coal Inc,WV,46,97,Upshur,2.0,Other,09/01/1991,C03,C0303,Bridgeport WV Field Office,460810903512,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,12/02/1991,N,,0,,,,0.0,N,80.2158,39.0992,,,,0.0,0.0,,N,N,N,N,N,0,,Johnstown
22428,4608293,No 1,C,Underground,Abandoned and Sealed,04/19/1993,C14848,Charles E  Redden,P22352,3-Way Mining Inc,WV,46,81,Raleigh,3.0,Other,04/01/1993,C04,C0401,Mt. Hope WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,81.3033,37.6792,,,0.0,,,,N,N,N,N,N,0,,Helen
22448,4608114,Patience Mining Co,C,Surface,Abandoned,03/14/1993,C14139,Wellman Travis S,P20896,Holly Mining Inc,WV,46,19,Fayette,3.0,Other,12/01/1991,C04,C0401,Mt. Hope WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,8.2833,38.9444,30.0,,,0.0,0.0,,N,N,N,N,N,0,,Pax
